"Release Date
(Packaging)",ES Release Date,VN Release Date,EzServer,Status,Stage,AxisY,"Included
EzWebServer",Supporting CleverOne,"Supporting
EzDent-i","Supporting
Ez3D-i","Supporting
EzOrtho","Supporting
EzMobile","Supporting
EzDent Web",Supporting EzDent Web for Tablet,Supporting EzCommonTools,"Supporting
EzGate",Supporting Ez-iScan,Comment,Link,E2 DB,E3 DB,SC DB,IMPLANT DB,LOG DB,SETTING DB,EzOrtho Data Version,Service Config File Format,DB Accounts Revision,VTDBConfig.ini version,EIF Version,EzServer Installer,EzServer AuthProvider,EzServer LicenseManager,EzServer Messenger,EzServer Updater,EzServer REST API v2,EzServer WebConsole,EzLauncher,EzServer OpenSource Licenses,EzServer License Manager Frontend,EzServer Updater Frontend,Sharing Manager (EzCloud v0.9),EzServer Manager App,EzServer Manager Service,EzServer Control Panel,EzServer Service,VTDBBackup,Password Init Tool,DB,PMS Integration REST API Version,PMS Integration AMQP protocol version,nginx,php,dcmtk,node,Qt,ffmpeg,7z,ImageMagick,OpenSSL,LexFloatServer,LexActivator,SHA256,"EzServer PI Disposer
(Not Inclued)",EzServer Migration Tool (Not Included),"EzCommonTools
(Not Included)"
2024-10-17,2024-10-24,,v6.1.0.1,Released,FCS,20,v6.1.0.1,N/A,~ v3.5.10.0,~ v5.5.4.0,"v1.2.0.0 ~
v1.3.8.2",~ v1.1.7.0 Patch,"v1.0.1.a1 ~
v1.2.0.6",~ v1.2.0.6,~ v1.1.2.1,~ v1.0.9.2,~ v1.0.0 (TBD),,,v32,v10,v12,v10,v2,v10,v8,v6,r2,v3,v2,v6.1.0,v6.1.0,v6.1.0,v6.1.0,v6.1.0,N/A,v6.1.0,v6.1.0,v6.1.0,v6.1.0,v6.1.0,v0.9.0,N/A,N/A,v6.1.0.0,v6.1.0.0,v6.1.0.0,v6.1.0.0,PostgreSQL v15.5.1 (64bit),v3,TBD,v1.24 (x86),v7.4.32 (x86),v3.6.6 (x86) modified by ES,"v12 (32bit) - Others
v14 (32bit) - Messenger
v16 (64bit) - Updater",v5.15.5 (x86),v3.2.4 (x86),v19.0 (x86),v7.0.7 (x86),v1.1.1i,v4.9.4 (x86),v3.23.0 (x86),38c88cef1514386ece6b39a4958d9bce3c7d0acdcc5e5c6c4ac0be9f4dd07f67,v5.4.0,,
2024-07-11,,,v6.1.0.0,Released,FCS,10,v6.1.0.0,N/A,,,,,,,,,~ v1.0.0 (TBD),EzServer Installer with Revert DB support.,,v32,v10,v12,v10,v2,v10,v8,v6,r2,v3,v2,v6.1.0,v6.1.0,v6.1.0,v6.1.0,v6.1.0,N/A,v6.1.0,v6.1.0,v6.1.0,v6.1.0,v6.1.0,v0.9.0,N/A,N/A,v6.1.0.0,v6.1.0.0,v6.1.0.0,v6.1.0.0,PostgreSQL v15.5.1 (64bit),v3,TBD,v1.24 (x86),v7.4.32 (x86),v3.6.6 (x86) modified by ES,"v12 (32bit) - Others
v14 (32bit) - Messenger
v16 (64bit) - Updater",v5.15.5 (x86),v3.2.4 (x86),v19.0 (x86),v7.0.7 (x86),v1.1.1i,v4.9.4 (x86),v3.23.0 (x86),5bbf94b27d20476a7220b68993c36612db80e630b240b67cb0f0aef6419ec5d5,v5.4.0,,
2024-06-19,,,v6.1.0.b1,Released,Beta,-30,v6.1.0.b1,N/A,,,,,,,,,~ v1.0.0 (TBD),,,v32,v10,v12,v10,v2,v10,v8,v6,r2,v3,v2,v6.1.0,v6.1.0,v6.1.0,v6.1.0,v6.1.0,N/A,v6.1.0,v6.1.0,v6.1.0,v6.1.0,v6.1.0,v0.9.0,N/A,N/A,v6.1.0.0,v6.1.0.0,v6.1.0.0,v6.1.0.0,PostgreSQL v15.5.1 (64bit),v3,TBD,v1.24 (x86),v7.4.32 (x86),v3.6.6 (x86) modified by ES,"v12 (32bit) - Others
v14 (32bit) - Messenger
v16 (64bit) - Updater",v5.15.5 (x86),v3.2.4 (x86),v19.0 (x86),v7.0.7 (x86),v1.1.1i,v4.9.4 (x86),v3.23.0 (x86),149108e6ba3a2003e956b53b438d2e17cc21981b7a2a7208483f7ec7bd1b034d,v5.4.0,,
2024-05-31,,,v6.1.0.a1,Released,Alpha,-40,v6.1.0.a1,N/A,,,,,,,,,~ v1.0.0 (TBD),Clever One support,,v32,v10,v12,v10,v2,v10,v8,v6,r2,v3,v2,v6.1.0,v6.1.0,v6.1.0,v6.1.0,v6.1.0,N/A,v6.1.0,v6.1.0,v6.1.0,v6.1.0,v6.1.0,v0.9.0,N/A,N/A,v6.1.0.0,v6.1.0.0,v6.1.0.0,v6.1.0.0,PostgreSQL v15.5.1 (64bit),v3,TBD,v1.24 (x86),v7.4.32 (x86),v3.6.6 (x86) modified by ES,"v12 (32bit) - Others
v14 (32bit) - Messenger
v16 (64bit) - Updater",v5.15.5 (x86),v3.2.4 (x86),v19.0 (x86),v7.0.7 (x86),v1.1.1i,v4.9.4 (x86),v3.23.0 (x86),eaa6fcc233f964c5125beed29258ef51f8afa5aa48266b935daf48f8c25db568,v5.4.0,,
2024-01-31,2024-01-31,,v6.0.0.0,Released,FCS,10,v6.0.0.0,N/A,~ v3.5.0.3,~ v5.5.0.6,v1.2.0.0 ~ v1.3.7.1,~ v1.1.7.0 Patch,v1.0.1.a1 ~ v1.2.0.4,~ v1.2.0.4,~ v1.1.1.0,~ v1.0.7.0,~ v1.0.0 (TBD),Changed PostgreSQL to v15. New install only supported (No upgrade supported). DB accounts changed. 64bit only.,,v31,v10,v11,v10,v2,v9,v8,v6,r2,v2 (actually v3),v1,v6.0.0,v6.0.0,v6.0.0,v6.0.0,v6.0.0,N/A,v6.0.0,v6.0.0,v6.0.0,v6.0.0,v6.0.0,v0.9.0,N/A,N/A,v6.0.0.0,v6.0.0.0,v6.0.0.0,v6.0.0.0,PostgreSQL v15.5.1 (64bit),v2 (v1.0.0),TBD,v1.24 (x86),v7.4.32 (x86),v3.6.6 (x86) modified by ES,"v12 (32bit) - Others
v14 (32bit) - Messenger, Updater",v5.15.5 (x86),v3.2.4 (x86),v19.0 (x86),v7.0.7 (x86),v1.1.1i,v4.9.4 (x86),v3.23.0 (x86),e0b03b2881f5d8b9e1a89f08522e0d7f1a6007d94629c76861e92ffa89a1fcb1,v5.4.0,,
2024-01-18,N/A,,v6.0.0.b1,Released,Beta,-30,v6.0.0.b1,N/A,~ v3.5.0.3,~ v5.5.0.6,v1.2.0.0 ~ v1.3.7.1,~ v1.1.7.0 Patch,v1.0.1.a1 ~ v1.2.0.4,~ v1.2.0.4,~ v1.1.1.0,~ v1.0.7.0,~ v1.0.0 (TBD),,,v31,v10,v11,v10,v2,v9,v8,v6,r2,v2 (actually v3),v1,v6.0.0,v6.0.0,v6.0.0,v6.0.0,v6.0.0,N/A,v6.0.0,v6.0.0,v6.0.0,v6.0.0,v6.0.0,v0.9.0,N/A,N/A,v6.0.0.0,v6.0.0.0,v6.0.0.0,v6.0.0.0,PostgreSQL v15.5.1 (64bit),v2 (v1.0.0),TBD,v1.24 (x86),v7.4.32 (x86),v3.6.6 (x86) modified by ES,"v12 (32bit) - Others
v14 (32bit) - Messenger, Updater",v5.15.5 (x86),v3.2.4 (x86),v19.0 (x86),v7.0.7 (x86),v1.1.1i,v4.8.7 (x86),v3.19.1 (x86),fffe8a1a63b7d2b465f8251ad4ac67f206cfe0a33e5b552a981e823e0fe0ccdd,v5.4.0,,
2024-12-23,,,v5.5.2.1,Released,FCS,20,v5.5.2.1,N/A,,,,,,,,,,"Green XE renaming. 
LexFloatServer, LexActivator Upgrade.",,v31,v10,v11,v10,v2,v9,v8,v6,r1,v2,N/A,N/A,v5.5.2,v5.5.2,v5.5.2,v5.5.2,N/A,v5.5.2,v5.5.2,v5.5.2,v5.5.2,v5.5.2,v0.9.0,N/A,N/A,v5.5.2.1,v5.5.2.1,v5.5.2.1,v5.5.2.1,PostgreSQL v9.2.2 (32bit),v3,TBD,v1.24 (x86),v7.4.32 (x86),v3.6.6 (x86) modified by ES,"v12 (32bit) - Others
v14 (32bit) - Messenger, Updater",v5.10.1 (x86),v3.2.4 (x86),v19.0 (x86),v7.0.7 (x86),v1.1.1i,v4.13.3 (x86) - Unboxed,v3.31.0 (x86),9763aa4ac51f218e9cdf86330bb07cfc01d122a1ca9056bb96cb87754928e7ae,v5.4.0,,
2024-12-20,,,v5.5.2.0,Released,FCS,10,v5.5.2.0,N/A,,,,,,,,,,"Green XE renaming. 
LexFloatServer, LexActivator Upgrade.",,v31,v10,v11,v10,v2,v9,v8,v6,r1,v2,N/A,N/A,v5.5.2,v5.5.2,v5.5.2,v5.5.2,N/A,v5.5.2,v5.5.2,v5.5.2,v5.5.2,v5.5.2,v0.9.0,N/A,N/A,v5.5.2.0,v5.5.2.0,v5.5.2.0,v5.5.2.0,PostgreSQL v9.2.2 (32bit),v3,TBD,v1.24 (x86),v7.4.32 (x86),v3.6.6 (x86) modified by ES,"v12 (32bit) - Others
v14 (32bit) - Messenger, Updater",v5.10.1 (x86),v3.2.4 (x86),v19.0 (x86),v7.0.7 (x86),v1.1.1i,v4.13.3 (x86) - Unboxed,v3.31.0 (x86),b6bbf4ce70ab0f01e2a25187ebef98cad5bf1e97e38a68cf9bd464ef63d48d0f,v5.4.0,,
2024-07-09,,,v5.5.1.1,Released,FCS,30,v5.5.1.1,N/A,,,,,,,,,~ v1.0.0 (TBD),"Ez-iScan API support.
Calibration file updats (X Sensor, vatech S21, )",,v31,v10,v11,v10,v2,v9,v8,v6,r1,v2,N/A,N/A,v5.5.1,v5.5.1,v5.5.1,v5.5.1,N/A,v5.5.1,v5.5.1,v5.5.1,v5.5.1,v5.5.1,v0.9.0,N/A,N/A,v5.5.1.1,v5.5.1.1,v5.5.1.1,v5.5.1.1,PostgreSQL v9.2.2 (32bit),v3,TBD,v1.24 (x86),v7.4.32 (x86),v3.6.6 (x86) modified by ES,"v12 (32bit) - Others
v14 (32bit) - Messenger, Updater",v5.10.1 (x86),v3.2.4 (x86),v19.0 (x86),v7.0.7 (x86),v1.1.1i,v4.9.4 (x86),v3.23.0 (x86),218cc9d0a9957633a55c4b8bac7e6dedc9b64e14859c48127677627f7e38d9c4,v5.4.0,,
2024-07-01,,,v5.5.1.0,Released,FCS,20,v5.5.1.0,N/A,,,,,,,,,~ v1.0.0 (TBD),,,v31,v10,v11,v10,v2,v9,v8,v6,r1,v2,N/A,N/A,v5.5.1,v5.5.1,v5.5.1,v5.5.1,N/A,v5.5.1,v5.5.1,v5.5.1,v5.5.1,v5.5.1,v0.9.0,N/A,N/A,v5.5.1.0,v5.5.1.0,v5.5.1.0,v5.5.1.0,PostgreSQL v9.2.2 (32bit),v3,TBD,v1.24 (x86),v7.4.32 (x86),v3.6.6 (x86) modified by ES,"v12 (32bit) - Others
v14 (32bit) - Messenger, Updater",v5.10.1 (x86),v3.2.4 (x86),v19.0 (x86),v7.0.7 (x86),v1.1.1i,v4.9.4 (x86),v3.23.0 (x86),875b74d1af7afd1810240a52bc7d113fe785511c795793ac43413a2644146876,v5.4.0,,
2024-06-24,,,v5.5.1.a1,Released,Alpha,-20,v5.5.1.a1,N/A,,,,,,,,,~ v1.0.0 (TBD),,,v31,v10,v11,v10,v2,v9,v8,v6,r1,v2,N/A,N/A,v5.5.1,v5.5.1,v5.5.1,v5.5.1,N/A,v5.5.1,v5.5.1,v5.5.1,v5.5.1,v5.5.1,v0.9.0,N/A,N/A,v5.5.1.0,v5.5.1.0,v5.5.1.0,v5.5.1.0,PostgreSQL v9.2.2 (32bit),v3,TBD,v1.24 (x86),v7.4.32 (x86),v3.6.6 (x86) modified by ES,"v12 (32bit) - Others
v14 (32bit) - Messenger, Updater",v5.10.1 (x86),v3.2.4 (x86),v19.0 (x86),v7.0.7 (x86),v1.1.1i,v4.9.4 (x86),v3.23.0 (x86),edea04bf857bdaf419efa7043cf66eaca89f8e04cb24da7f0f8f0214872e61ae,v5.4.0,,
2024-03-12,2024-03-13,,v5.5.0.3,Released,FCS,40,v5.5.0.3,N/A,~ v3.5.0.3,~ v5.5.1.1,v1.2.0.0 ~ v1.3.7.1,~ v1.1.7.0 Patch,v1.0.1.a1 ~ v1.2.0.4,~ v1.2.0.5,~ v1.1.1.0,~ v1.0.7.0,N/A,PMS Integration (weClever),,v31,v10,v11,v10,v2,v9,v8,v6,r1,v2,N/A,N/A,v5.5.0,v5.5.0,v5.5.0,v5.5.0,N/A,v5.5.0,v5.5.0,v5.5.0,v5.5.0,v5.5.0,v0.9.0,N/A,N/A,v5.5.0.3,v5.5.0.3,v5.5.0.3,v5.5.0.3,PostgreSQL v9.2.2 (32bit),v2 (v1.0.0),TBD,v1.24 (x86),v7.4.32 (x86),v3.6.6 (x86) modified by ES,"v12 (32bit) - Others
v14 (32bit) - Messenger, Updater",v5.10.1 (x86),v3.2.4 (x86),v19.0 (x86),v7.0.7 (x86),v1.1.1i,v4.9.4 (x86),v3.23.0 (x86),328332ab4a77d59b44d215921bda9b9172ee800dda2a658a07ed720e293df8ec,v5.4.0,,
2024-01-11,N/A,,v5.5.0.2,Released,FCS,30,v5.5.0.2,N/A,~ v3.5.0.1,~ v5.5.0.6,v1.2.0.0 ~ v1.3.7.1,~ v1.1.7.0 Patch,v1.0.1.a1 ~ v1.2.0.4,~ v1.2.0.4,~ v1.1.1.0,~ v1.0.7.0,N/A,PMS Integration (weClever),,v31,v10,v11,v10,v2,v9,v8,v6,r1,v2,N/A,N/A,v5.5.0,v5.5.0,v5.5.0,v5.5.0,N/A,v5.5.0,v5.5.0,v5.5.0,v5.5.0,v5.5.0,v0.9.0,N/A,N/A,v5.5.0.2,v5.5.0.2,v5.5.0.2,v5.5.0.2,PostgreSQL v9.2.2 (32bit),v2 (v1.0.0),TBD,v1.24 (x86),v7.4.32 (x86),v3.6.6 (x86) modified by ES,"v12 (32bit) - Others
v14 (32bit) - Messenger, Updater",v5.10.1 (x86),v3.2.4 (x86),v19.0 (x86),v7.0.7 (x86),v1.1.1i,v4.8.7 (x86),v3.19.1 (x86),cb9e846ab4734d978d32e7c5a34a0f49c4fbcbefc34802c385412218a3063f18,v5.4.0,,
2024-01-03,N/A,,v5.5.0.1,Released,FCS,20,v5.5.0.1,N/A,~ v3.5.0.1,~ v5.5.0.6,v1.2.0.0 ~ v1.3.7.1,~ v1.1.7.0 Patch,v1.0.1.a1 ~ v1.2.0.4,~ v1.2.0.4,~ v1.1.1.0,~ v1.0.7.0,N/A,PMS Integration (weClever),,v31,v10,v11,v10,v2,v9,v8,v6,r1,v2,N/A,N/A,v5.5.0,v5.5.0,v5.5.0,v5.5.0,N/A,v5.5.0,v5.5.0,v5.5.0,v5.5.0,v5.5.0,v0.9.0,N/A,N/A,v5.5.0.1,v5.5.0.1,v5.5.0.1,v5.5.0.1,PostgreSQL v9.2.2 (32bit),v2 (v1.0.0),TBD,v1.24 (x86),v7.4.32 (x86),v3.6.6 (x86) modified by ES,"v12 (32bit) - Others
v14 (32bit) - Messenger, Updater",v5.10.1 (x86),v3.2.4 (x86),v19.0 (x86),v7.0.7 (x86),v1.1.1i,v4.8.7 (x86),v3.19.1 (x86),cf41a86afc41cb0dd2be74f2594a188b9dcdafe25bfdff9d6dd206337d4c62ce,v5.4.0,,
2023-12-12,N/A,,v5.5.0.0,Released,FCS,10,v5.5.0.0,N/A,~ v3.5.0.1,~ v5.5.0.6,v1.2.0.0 ~ v1.3.7.1,~ v1.1.7.0 Patch,v1.0.1.a1 ~ v1.2.0.4,~ v1.2.0.4,~ v1.1.1.0,~ v1.0.7.0,N/A,PMS Integration (weClever),,v31,v10,v11,v10,v2,v9,v8,v6,r1,v2,N/A,N/A,v5.5.0,v5.5.0,v5.5.0,v5.5.0,N/A,v5.5.0,v5.5.0,v5.5.0,v5.5.0,v5.5.0,v0.9.0,N/A,N/A,v5.5.0.0,v5.5.0.0,v5.5.0.0,v5.5.0.0,PostgreSQL v9.2.2 (32bit),v2 (v1.0.0),TBD,v1.24 (x86),v7.4.32 (x86),v3.6.6 (x86) modified by ES,"v12 (32bit) - Others
v14 (32bit) - Messenger, Updater",v5.10.1 (x86),v3.2.4 (x86),v19.0 (x86),v7.0.7 (x86),v1.1.1i,v4.8.7 (x86),v3.19.1 (x86),33814ee8ce75798a6bd88dfcf526ed65c74ec5ca737ba2fcaf03ed4405a8b2af,v5.4.0,,
2023-11-29,N/A,,v5.5.0.b1,Released,Beta,-30,v5.5.0.b1,N/A,~ v3.5.0.0,~ v5.5.0.6,v1.2.0.0 ~ v1.3.7.1,~ v1.1.7.0 Patch,v1.0.1.a1 ~ v1.2.0.4,~ v1.2.0.3,~ v1.1.1.0,~ v1.0.7.0,N/A,,,v31,v10,v11,v10,v2,v9,v8,v6,r1,v2,N/A,N/A,v5.5.0,v5.5.0,v5.5.0,v5.5.0,N/A,v5.5.0,v5.5.0,v5.5.0,v5.5.0,v5.5.0,v0.9.0,N/A,N/A,v5.5.0.0,v5.5.0.0,v5.5.0.0,v5.5.0.0,PostgreSQL v9.2.2 (32bit),v2 (v1.0.0),TBD,v1.24 (x86),v7.4.32 (x86),v3.6.6 (x86) modified by ES,"v12 (32bit) - Others
v14 (32bit) - Messenger, Updater",v5.10.1 (x86),v3.2.4 (x86),v19.0 (x86),v7.0.7 (x86),v1.1.1i,v4.8.7 (x86),v3.19.1 (x86),6659894a067dcd66e881ab234fc6f2e5419345db4e0a794c2ec7d49f9d305e46,v5.4.0,,
2023-10-30,N/A,,v5.5.0.a1,Released,Alpha,-40,v5.5.0.a1,N/A,~ v3.5.0.a1,~ v5.5.0.5,v1.2.0.0 ~ v1.3.6.1,~ v1.1.7.0 Patch,v1.0.1.a1 ~ v1.2.0.3,v1.2.0.3 ~,~ v1.1.1.0,~ v1.0.7.0,N/A,,,v31,v10,v11,v10,v2,v9,Up,v6,r1,v2,N/A,N/A,v5.5.0,v5.5.0,v5.5.0,v5.5.0,N/A,v5.5.0,v5.5.0,v5.5.0,v5.5.0,v5.5.0,v0.9.0,N/A,N/A,v5.5.0.0,v5.5.0.0,v5.5.0.0,v5.5.0.0,PostgreSQL v9.2.2 (32bit),v2 (v1.0.0),TBD,v1.24 (x86),v7.4.32 (x86),v3.6.6 (x86) modified by ES,"v12 (32bit) - Others
v14 (32bit) - Messenger, Updater",v5.10.1 (x86),v3.2.4 (x86),v19.0 (x86),v7.0.7 (x86),v1.1.1i,v4.8.7 (x86),v3.19.1 (x86),b3ab24025322c0810ca2b2d68d30bf0953e5b87bcdeb0c830c3335cd2e607a2d,v5.4.0,,
2024-02-06,2024-02-20,,v5.3.7.0 Patch,Unreleased,FCS,20,v5.3.7.0,N/A,~ v3.4.5.3,~ v5.4.8.0,v1.2.0.0 ~ v1.3.7.1,~ v1.1.7.0 Patch,v1.0.1.a1 ~ v1.2.0.4,N/A,~ v1.1.1.0,~ v1.0.7.0,N/A,EZSV-1705,,v29,v10,v11,v10,v2,v7,v7,v4,r1,v2,N/A,N/A,v5.3.7,v5.3.7,v5.3.7,v5.3.7,N/A,v5.3.7,v5.3.7,v5.3.7,v5.3.7,v5.3.7,v0.9.0,N/A,N/A,v5.3.7.0,v5.3.7.0,v5.3.7.0,v5.3.7.0,PostgreSQL v9.2.2 (32bit),N/A,N/A,v1.24 (x86),v7.4.12 (vc2017 x86 TS),v3.6.6 (x86) modified by ES,"v12 (32bit) - Others
v14 (32bit) - Messenger, Updater",v5.10.1 (x86),v3.2.4 (x86),v19.0 (x86),v7.0.7 (x86),v1.1.1i,v4.9.4 (x86),v3.23.0 (x86),875f9e7b8c9832915f65364cc05084e9c33555d9139f7ac32f234f02d0c66f4e,v5.4.0,,
2023-11-29,,,v5.3.6.0 Patch,Released,FCS,30,v5.3.6.0,N/A,~ v3.4.5.3,~ v5.4.8.0,v1.2.0.0 ~ v1.3.7.1,~ v1.1.7.0 Patch,v1.0.1.a1 ~ v1.2.0.4,N/A,~ v1.1.1.0,~ v1.0.7.0,N/A,"EZSV-1677 nginx CreateFile, CreateDirecotry error fix",,v29,v10,v11,v10,v2,v7,v7,v4,r1,v2,N/A,N/A,v5.3.6,v5.3.6,v5.3.6,v5.3.6,N/A,v5.3.6,v5.3.6,v5.3.6,v5.3.6,v5.3.6,v0.9.0,N/A,N/A,v5.3.6.0,v5.3.6.0,v5.3.6.0,v5.3.6.0,PostgreSQL v9.2.2 (32bit),N/A,N/A,v1.24 (x86),v7.4.12 (vc2017 x86 TS),v3.6.6 (x86) modified by ES,"v12 (32bit) - Others
v14 (32bit) - Messenger, Updater",v5.10.1 (x86),v3.2.4 (x86),v19.0 (x86),v7.0.7 (x86),v1.1.1i,v4.9.4 (x86),v3.23.0 (x86),c43686cd25f7210cdc18cfbab89e7e66f7347c81de1a6d46eb65db241ea838b8,v5.4.0,,
2023-10-26,,,v5.3.5.1,Released,FCS,20,v5.3.5.1,N/A,~ v3.4.5.3,~ v5.4.8.0,v1.2.0.0 ~ v1.3.6.1,~ v1.1.7.0 Patch,v1.0.1.a1 ~ v1.2.0.3,N/A,~ v1.0.4.2,~ v1.0.7.0,N/A,,,v29,v10,v11,v10,v2,v7,v7,v4,r1,v2,N/A,N/A,v5.3.5,v5.3.5,v5.3.5,v5.3.5,N/A,v5.3.5,v5.3.5,v5.3.5,v5.3.5,v5.3.5,v0.9.0,N/A,N/A,v5.3.5.1,v5.3.5.1,v5.3.5.1,v5.3.5.1,PostgreSQL v9.2.2 (32bit),N/A,N/A,v1.24 (x86),v7.4.12 (vc2017 x86 TS),v3.6.6 (x86) modified by ES,"v12 (32bit) - Others
v14 (32bit) - Messenger, Updater",v5.10.1 (x86),v3.2.4 (x86),v19.0 (x86),v7.0.7 (x86),v1.1.1i,v4.9.4 (x86),v3.23.0 (x86),35962f92222046cb15f0d15b5180455382e00729af4e58f13596d0fd11c8c4b5,v5.4.0,,
2023-10-20,,,v5.3.5.0,Released,FCS,10,v5.3.5.0,N/A,~ v3.4.0.0,~ v5.5.0.2,v1.2.0.0 ~ v1.3.6.1,~ v1.1.7.0 Patch,v1.0.1.a1 ~ v1.1.1.2,N/A,~ v1.0.4.2,~ v1.0.1.4,N/A,,,v29,v10,v11,v10,v2,v7,v7,v4,r1,v2,N/A,N/A,v5.3.5,v5.3.5,v5.3.5,v5.3.5,N/A,v5.3.5,v5.3.5,v5.3.5,v5.3.5,v5.3.5,v0.9.0,N/A,N/A,v5.3.5.0,v5.3.5.0,v5.3.5.0,v5.3.5.0,PostgreSQL v9.2.2 (32bit),N/A,N/A,v1.24 (x86),v7.4.12 (vc2017 x86 TS),v3.6.6 (x86) modified by ES,"v12 (32bit) - Others
v14 (32bit) - Messenger, Updater",v5.10.1 (x86),v3.2.4 (x86),v19.0 (x86),v7.0.7 (x86),v1.1.1i,v4.9.4 (x86),v3.23.0 (x86),fad64adc7671328f120d874717da8bbee60303be987efb6b05d21f232a9156ab,v5.4.0,,
2023-06-30,,,v5.4.0.2,Released,FCS,40,v5.4.0.2,N/A,~ v3.4.5.1,~ v5.5.0.b1,v1.2.0.0 ~ v1.3.6.b1,~ v1.1.7.0 Patch,v1.0.1.a1 ~ v1.2.0.0,N/A,~ v1.1.0.2,~ v1.0.6.0,N/A,"EzUpdater Release Management 추가, EzLauncher update",,v30,v10,v11,v10,v2,v8,v8,v5,r1,v2,N/A,N/A,v5.4.0,v5.4.0,v5.4.0,v5.4.0,N/A,v5.4.0,v5.4.0,v5.4.0,v5.4.0,v5.4.0,v0.9.0,N/A,N/A,v5.4.0.0,v5.4.0.0,v5.4.0.0,v5.4.0.0,PostgreSQL v9.2.2 (32bit),N/A,N/A,v1.18 (x86),v7.4.12 (vc2017 x86 TS),v3.6.6 (x86) modified by ES,"v12 (32bit) - Others
v14 (32bit) - Messenger, Updater",v5.10.1 (x86),v3.2.4 (x86),v19.0 (x86),v7.0.7 (x86),v1.1.1i,v4.8.7 (x86),v3.9.1 (x86),73d788b37690af24b31a9d03ac7559c2a7eff443d8ee6a18cc69b0295a732427,v5.4.0,,
2023-06-21,N/A,,v5.4.0.1,Released,FCS,30,v5.4.0.1,N/A,~ v3.4.5.0,~ v5.5.0.a1,v1.2.0.0 ~ v1.3.5.0,~ v1.1.7.0 Patch,v1.0.1.a1 ~ v1.2.0.b1,N/A,~ v1.1.0.1,~ v1.0.5.2,N/A,,,v30,v10,v11,v10,v2,v8,v8,v5,r1,v2,N/A,N/A,v5.4.0,v5.4.0,v5.4.0,v5.4.0,N/A,v5.4.0,v5.4.0,v5.4.0,v5.4.0,v5.4.0,v0.9.0,N/A,N/A,v5.4.0.0,v5.4.0.0,v5.4.0.0,v5.4.0.0,PostgreSQL v9.2.2 (32bit),N/A,N/A,v1.18 (x86),v7.4.12 (vc2017 x86 TS),v3.6.6 (x86) modified by ES,"v12 (32bit) - Others
v14 (32bit) - Messenger, Updater",v5.10.1 (x86),v3.2.4 (x86),v19.0 (x86),v7.0.7 (x86),v1.1.1i,v4.8.7 (x86),v3.9.1 (x86),85bdfd961804785df0789aab88e11e9c7969ae5f8d91839062e7027820c006ba,v5.4.0,,
2023-06-09,N/A,,v5.4.0.0,Released,FCS,20,v5.4.0.0,N/A,~ v3.4.5.0,~ v5.5.0.a1,v1.2.0.0 ~ v1.3.4.2,~ v1.1.7.0 Patch,v1.0.1.a1 ~ v1.2.0.b1,N/A,~ v1.1.0.0,~ v1.0.5.2,N/A,"EzUpdater Release Management 추가, EzLauncher update",,v30,v10,v11,v10,v2,v8,v8,v5,r1,v2,N/A,N/A,v5.4.0,v5.4.0,v5.4.0,v5.4.0,N/A,v5.4.0,v5.4.0,v5.4.0,v5.4.0,v5.4.0,v0.9.0,N/A,N/A,v5.4.0.0,v5.4.0.0,v5.4.0.0,v5.4.0.0,PostgreSQL v9.2.2 (32bit),N/A,N/A,v1.18 (x86),v7.4.12 (vc2017 x86 TS),v3.6.6 (x86) modified by ES,"v12 (32bit) - Others
v14 (32bit) - Messenger, Updater",v5.10.1 (x86),v3.2.4 (x86),v19.0 (x86),v7.0.7 (x86),v1.1.1i,v4.8.7 (x86),v3.9.1 (x86),57d9b334f7d2b82b0902aa74d99371398b700f8d9666cd341232b517f1ba496c,v5.3.0,,
2023-05-30,N/A,,v5.4.0.b1,Released,Beta,-30,v5.4.0.b1,N/A,~ v3.4.5.b1,~ v5.4.7.1,v1.2.0.0 ~ v1.3.4.2,~ v1.1.7.0 Patch,v1.0.1.a1 ~ v1.2.0.b1,N/A,~ v1.1.0.b1,~ v1.0.5.1,N/A,,,v30,v10,v11,v10,v2,v8,v8,v5,r1,v2,N/A,N/A,v5.4.0,v5.4.0,v5.4.0,v5.4.0,N/A,v5.4.0,v5.4.0,v5.4.0,v5.4.0,v5.4.0,v0.9.0,N/A,N/A,v5.4.0.0,v5.4.0.0,v5.4.0.0,v5.4.0.0,PostgreSQL v9.2.2 (32bit),N/A,N/A,v1.18 (x86),v7.4.12 (vc2017 x86 TS),v3.6.6 (x86) modified by ES,"v12 (32bit) - Others
v14 (32bit) - Messenger, Updater",v5.10.1 (x86),v3.2.4 (x86),v19.0 (x86),v7.0.7 (x86),v1.1.1i,v4.8.7 (x86),v3.9.1 (x86),21fa650c602a66ff1a5ae2098a2569509e350747bbfb6b03381a0e612a91c0d3,v5.3.0,,
